Date,Temperature_C,pH,CO2_Injectionsper10min,RelativeDensity,LightIntensity,TankVolume,TotalNutrients_mLper10min,TopLeftNutr_Multiplier,LowerLeftNutr_Multiplier,RightNutr_Multiplier,Growth_Rate
12/10/2021 08:00,25.32315,8.493241,4.287543,0.1895346,10,1022,0,1,1,1,0.006436009
12/10/2021 08:01,25.30809,8.498368,4.28673,0.1896922,10,1023,0,1,1,1,0.006436009
12/10/2021 08:02,25.06399,8.502214,4.284929,0.1898785,10,1022,0,1,1,1,0.006436009
12/10/2021 08:03,25.3296,8.484481,4.284155,0.1900416,10,1022,0,1,1,1,0.006446389
12/10/2021 08:04,25.3339,8.493241,4.283392,0.1900446,10,1022,0,1,1,1,0.006446389
12/10/2021 08:05,25.34789,8.494096,4.281641,0.1901057,10,1021,0,1,1,1,0.006446389
12/10/2021 08:06,25.31347,8.497514,4.278917,0.1902351,10,1024,0,1,1,1,0.006455801
12/10/2021 08:07,24.98765,8.500291,4.275233,0.1902983,10,1022,0,1,1,1,0.006455801
12/10/2021 08:08,25.33713,8.488967,4.271605,0.1904393,10,1023,0,1,1,1,0.006455801
12/10/2021 08:09,25.33928,8.494096,4.268031,0.1906591,10,1021,0,1,1,1,0.006465914
12/10/2021 08:10,25.35327,8.49965,4.26451,0.1908327,10,1022,0,1,1,1,0.006465914
12/10/2021 08:11,25.35327,8.501146,4.261043,0.1909987,10,1023,0,1,1,1,0.006465914
12/10/2021 08:12,25.35649,8.487258,4.258627,0.1911933,10,1021,0,1,1,1,0.006480168
12/10/2021 08:13,25.35004,8.493455,4.255747,0.1913256,10,1021,0,1,1,1,0.006480168
12/10/2021 08:14,25.37156,8.497087,4.253411,0.1913989,10,1024,0,1,1,1,0.006480168
12/10/2021 08:15,25.36295,8.49965,4.25211,0.1914169,10,1022,0,1,1,1,0.006495841
12/10/2021 08:16,25.3651,8.497941,4.251828,0.1914485,10,1021,0,1,1,1,0.006495841
12/10/2021 08:17,25.35111,8.496232,4.252551,0.1915151,10,1021,0,1,1,1,0.006495841
12/10/2021 08:18,25.38016,8.497514,4.253263,0.1915691,10,1021,0,1,1,1,0.006511163
12/10/2021 08:19,25.33068,8.49965,4.253963,0.1916299,10,1022,0,1,1,1,0.006511163
12/10/2021 08:20,25.37908,8.493241,4.255154,0.1917945,10,1022,0,1,1,1,0.006511163
12/10/2021 08:21,25.39414,8.496232,4.256327,0.1919261,10,1022,0,1,1,1,0.006527594
12/10/2021 08:22,25.32422,8.498582,4.256482,0.1921023,10,1023,0,1,1,1,0.006527594
12/10/2021 08:23,25.33284,8.496232,4.256135,0.192306,10,1021,0,1,1,1,0.006527594
12/10/2021 08:24,25.38446,8.491317,4.256293,0.1924933,10,1022,0,1,1,1,0.006546888
12/10/2021 08:25,25.36295,8.494737,4.256448,0.1926146,10,1023,0,1,1,1,0.006546888
12/10/2021 08:26,25.39199,8.49965,4.256601,0.1927697,10,1023,0,1,1,1,0.006546888
12/10/2021 08:27,25.3737,8.488326,4.256252,0.1928416,10,1022,0,1,1,1,0.006568129
12/10/2021 08:28,25.35757,8.488753,4.256409,0.1929392,10,1023,0,1,1,1,0.006568129
12/10/2021 08:29,25.38446,8.494737,4.257062,0.1930574,10,1022,0,1,1,1,0.006568129
12/10/2021 08:30,25.38984,8.496446,4.257707,0.1932032,10,1024,0,1,1,1,0.006591844
12/10/2021 08:31,25.08333,8.497727,4.258841,0.1933221,10,1021,0,1,1,1,0.006591844
12/10/2021 08:32,25.34574,8.49089,4.261458,0.1934696,10,1023,0,1,1,1,0.006591844
12/10/2021 08:33,25.37155,8.495378,4.264536,0.1936433,10,1022,0,1,1,1,0.00661695
12/10/2021 08:34,25.39522,8.496446,4.267068,0.1937975,10,1022,0,1,1,1,0.00661695
12/10/2021 08:35,25.39952,8.500291,4.269562,0.1939511,10,1022,0,1,1,1,0.00661695
12/10/2021 08:36,25.41888,8.49495,4.272018,0.1940531,10,1021,0,1,1,1,0.006643729
12/10/2021 08:37,25.38446,8.495591,4.275438,0.1941259,10,1021,0,1,1,1,0.006643729
